"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-QUX";"N-180";"ULTRAMAGIC, S.A."
"HB-QVA";"M-120";"ULTRAMAGIC, S.A."
"HB-QVB";"M-120";"ULTRAMAGIC, S.A."
"HB-QVC";"M-65C";"ULTRAMAGIC, S.A."
"HB-QVD";"M-105";"ULTRAMAGIC, S.A."
"HB-QVF";"BB51Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QVH";"BB20E";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QVI";"BB20E";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QVK";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QVM";"M-145";"ULTRAMAGIC, S.A."
"HB-QVN";"M-65C";"ULTRAMAGIC, S.A."
"HB-QVO";"M-145";"ULTRAMAGIC, S.A."
"HB-QVP";"N-180";"ULTRAMAGIC, S.A."
"HB-QVS";"AS 105 MKII";"CAMERON BALLOONS LTD."
"HB-QVT";"M-90";"ULTRAMAGIC, S.A."
"HB-QVV";"SPECIAL SHAPE (F-21 CEPSA)";"ULTRAMAGIC, S.A."
"HB-QVZ";"LBL 150A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QWA";"M-90";"ULTRAMAGIC, S.A."
"HB-QWB";"M-105";"ULTRAMAGIC, S.A."
"HB-QWC";"M-77C";"ULTRAMAGIC, S.A."
"HB-QWE";"B-70";"ULTRAMAGIC, S.A."
"HB-QWF";"FIRE BALLOONS G 30/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWG";"FIRE BALLOONS G 36/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWH";"FIRE BALLOONS G 20/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWI";"FIRE BALLOONS G 26/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWL";"FIRE BALLOONS G 40/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWM";"M-90";"ULTRAMAGIC, S.A."
"HB-QWN";"Z-120";"CAMERON BALLOONS LTD"
"HB-QWP";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QWR";"M-90";"ULTRAMAGIC, S.A."
"HB-QWS";"T-210";"ULTRAMAGIC, S.A."
"HB-QWT";"T-210";"ULTRAMAGIC, S.A."
"HB-QWW";"M-120";"ULTRAMAGIC, S.A."
"HB-QXA";"B-70";"ULTRAMAGIC, S.A."
"HB-QXB";"B-70";"ULTRAMAGIC, S.A."
"HB-QXC";"M-120";"ULTRAMAGIC, S.A."
"HB-QXM";"M-145";"ULTRAMAGIC, S.A."
"HB-QXX";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QYN";"BB17XR";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QZA";"M-120";"ULTRAMAGIC, S.A."
"HB-QZB";"BB60Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QZC";"G-90";"ULTRAMAGIC, S.A."
"HB-QZD";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QZE";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QZL";"N-180";"ULTRAMAGIC, S.A."
"HB-QZM";"T-180";"ULTRAMAGIC, S.A."
"HB-QZS";"N-180";"ULTRAMAGIC, S.A."
"HB-QZZ";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-RAG";"D 26";"K+W THUN"
"HB-RAI";"D 26";"K+W THUN"
"HB-RAM";"P2-06";"PILATUS FLUGZEUGWERKE AG"
"HB-RAO";"MS 317";"MORANE-SAULNIER"
"HB-RAR";"P2-06";"PILATUS FLUGZEUGWERKE AG"
"HB-RAU";"P2-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RAY";"P2-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RBG";"E75 (PT-13D/N2S-5)";"BOEING AIRPLANE COMPANY"
"HB-RBK";"P3-03";"PILATUS FLUGZEUGWERKE AG"
"HB-RBN";"P3-03";"PILATUS FLUGZEUGWERKE AG"
"HB-RBP";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RBX";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RBY";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCD";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCE";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCF";"D-3801";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RCH";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCJ";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCL";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCN";"T-6G";"NORTH AMERICAN AVIATION, INC. "
"HB-RCQ";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCV";"BLERIOT XI";"AMATEURBAU"
"HB-RCX";"YAK-18A";"YAKOVLEV AIRCRAFT CORPORATION"
"HB-RCY";"P3-05";"PILATUS FLUGZEUGWERKE AG"
"HB-RCZ";"YAK-18A";"YAKOVLEV AIRCRAFT CORPORATION"
"HB-RDB";"C-3605";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RDD";"ST-3KR (PT-22A)";"RYAN AERONAUTICAL COMPANY"
"HB-RDF";"MIRAGE III DS";"AVIONS MARCEL DASSAULT-BREGUET AVIATION (AMD-BA)"
"HB-RDG";"TBM-3E";"GENERAL MOTORS CORPORATION, EASTERN AIRCRAFT DIVISION"
"HB-RDH";"C-3605";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RDN";"AT-16";"NOORDUYN AVIATION LIMITED"
"HB-RGB";"GRANDJEAN III";"AMATEURBAU"
"HB-RIM";"JUNKERS F 13";"RIMOWA FLUGZEUGWERKE AG"
"HB-RSC";"1049F-55 (C-121C)";"LOCKHEED AIRCRAFT CORPORATION"
"HB-RUA";"T-131 PA";"SERWIS SAMOLOTÓW HISTORYCZNYCH (SSH) JANUSZ KARASIEWICZ"
"HB-RVE";"DH-100 MK.6";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RVF";"DH-115 MK.55";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RVH";"DH-100 MK.6";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RVJ";"DH-115 MK.55";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RVN";"DH-100 MK.6";"EIDG. FLUGZEUGWERK (F+W) EMMEN"
"HB-RVP";"HUNTER T.MK.68";"HAWKER AIRCRAFT LTD."
"HB-RVQ";"HUNTER MK.58";"HAWKER AIRCRAFT LTD."
"HB-RVR";"HUNTER T.MK.68";"HAWKER AIRCRAFT LTD."
"HB-RVS";"HUNTER MK.58";"HAWKER AIRCRAFT LTD."
"HB-RVU";"HUNTER MK.58";"HAWKER AIRCRAFT LTD."
"HB-RVV";"HUNTER T.MK.68";"HAWKER AIRCRAFT LTD."
"HB-RVW";"HUNTER T.MK.68";"HAWKER AIRCRAFT LTD."
"HB-RYA";"YAK-9U-M";"YAKOVLEV AIRCRAFT FACTORY"
"HB-SAA";"ALPHA ELECTRO";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-SAC";"GY 201";"AMATEURBAU"
"HB-SAE";"JODEL D 9";"HOMEBUILT (DE)"
"HB-SAG";"GY 20";"CONSTRUCTIONS AÉRONAUTIQUES DU BÉARN"
"HB-SAP";"CAP 10B";"AVIONS MUDRY ET CIE"
"HB-SAW";"CAP 10B";"AVIONS MUDRY ET CIE"
"HB-SAX";"CAP 10B";"AVIONS MUDRY ET CIE"
"HB-SBD";"CAP 10B";"AVIONS MUDRY ET CIE"
"HB-SBE";"CAP 10B";"CONSTRUCTIONS AERONAUTIQUES DE BOURGOGNE"
"HB-SCL";"DV 20";"HOAC-AUSTRIA"
"HB-SCN";"DV 20";"HOAC-AUSTRIA"
"HB-SCP";"DV 20";"HOAC-AUSTRIA"
"HB-SCS";"DV 20";"HOAC-AUSTRIA"
"HB-SCT";"DV 20";"HOAC-AUSTRIA"
"HB-SCU";"DV 20";"HOAC-AUSTRIA"
"HB-SCZ";"DA20-A1";"DIAMOND AIRCRAFT INDUSTR. INC."
"HB-SDB";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDC";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDD";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDF";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SDI";"DV 20";"HOAC-AUSTRIA"
"HB-SDJ";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SDK";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDL";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDM";"DA 42";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDO";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDP";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDR";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDT";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SDV";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SEF";"CP 301 S";"BINDER-AVIATIK K.G."
"HB-SEH";"JODEL D 140 C";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SEL";"CP 301 S";"BINDER-AVIATIK K.G."
"HB-SEW";"JODEL DR 1050";"CENTRE EST AERONAUTIQUE"
"HB-SEX";"ERLA 5A";"EISEN- UND FLUGZEUGWERK ERLA GMBH"
"HB-SEY";"JODEL D 120";"SOCIETE WASSMER AVIATION"
"HB-SEZ";"JODEL D 117";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFA";"JODEL D 140 E";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFB";"JODEL D 140 E";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFD";"JODEL D 140 C";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFE";"JODEL D 140 C";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFF";"JODEL D 140 C";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFH";"JODEL D 140 C";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFI";"JODEL D 140 R";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFR";"JODEL D 140 R";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SFS";"AT01";"AQUILA TECHNISCHE ENTWICKLUNGEN GMBH"
"HB-SFU";"AT01";"AQUILA TECHNISCHE ENTWICKLUNGEN GMBH"
"HB-SFX";"AT01";"AQUILA AVIATION BY EXCELLENCE AG"
"HB-SGB";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGC";"DA 40 D";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGE";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGF";"DV 20";"HOAC-AUSTRIA"
"HB-SGG";"DA20-C1";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGH";"DA20-C1";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGI";"DA20-C1";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGK";"DA20-C1";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGL";"DA20-C1";"DIAMOND AIRCRAFT INDUSTRIES INC."
"HB-SGM";"DV 20";"HOAC-AUSTRIA"
"HB-SGN";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGO";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGP";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGR";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGS";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SGT";"AT01-100C";"AQUILA AVIATION GMBH"
"HB-SGU";"AT01-100C";"AQUILA AVIATION GMBH"
"HB-SGZ";"AT01-100C";"AQUILA AVIATION INTERNATIONAL GMBH"
"HB-SHL";"DA 40 NG";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SIB";"S2";"SOLAR IMPULSE SA"
"HB-SOA";"GY 201";"AMATEURBAU"
"HB-SOG";"JODEL D 112";"WALTER UETZ, FLUGZEUGBAU"
"HB-SOH";"JODEL D 11";"AMATEURBAU"
"HB-SOI";"TURBULENT";"HOMEBUILT (CH)"
"HB-SOP";"JODEL D 11";"WALTER UETZ, FLUGZEUGBAU"
"HB-SOU";"JODEL D 112";"MICHEL DEVAUD"
"HB-SPH";"GY 201";"CONSTRUCTIONS AÉRONAUTIQUES DU BÉARN"
"HB-SPK";"DA 40";"DIAMOND AIRCRAFT INDUSTRIES GMBH"
"HB-SPM";"POTEZ 600";"POTEZ AERONAUTIQUE"
"HB-SPO";"JODEL D 117";"S.A.N. SOCIÉTÉ AÉRONAUTIQUE NORMANDE"
"HB-SPP";"SIPA 903";"STÉ INDUSTRIELLE POUR L'AERONAUTIQUE"
"HB-SPQ";"NIPPER T.66 RA45 SERIES 3";"SLINGSBY SAILPLANES LIMITED"
"HB-SPT";"SIPA 903";"STÉ INDUSTRIELLE POUR L'AERONAUTIQUE"
"HB-SPV";"SIPA 903";"STÉ INDUSTRIELLE POUR L'AERONAUTIQUE"
"HB-SPX";"JODEL D 120";"SOCIETE WASSMER AVIATION"
"HB-SRA";"AT-3 R100";"AERO AT SP. Z O.O."
"HB-SRB";"AT-3 R100";"AERO AT SP. Z O.O."
"HB-SRC";"AT-3 R100";"AERO AT SP. Z O.O."
"HB-SRD";"AT-3 R100";"AERO AT SP. Z O.O."
"HB-SRE";"AT-3 R100";"AERO AT SP. Z O.O."
"HB-STA";"ENDURO";"ULTRALEICHTFLUG SCHMIDTLER"
"HB-SUD";"JODEL D 11";"WALTER UETZ, FLUGZEUGBAU"
"HB-SUI";"GY 20";"AMATEURBAU"
"HB-SUM";"GY 201";"AMATEURBAU"
"HB-SUN";"JODEL D 9";"HOMEBUILT (CH)"
"HB-SUT";"GY 201";"AMATEURBAU"
"HB-SUU";"JODEL D 112";"ETABLISSEMENTS JODEL"
"HB-SUY";"JODEL D 11";"WALTER UETZ, FLUGZEUGBAU"
"HB-SVC";"JODEL D 11";"WALTER UETZ, FLUGZEUGBAU"
"HB-SVL";"JODEL D 112";"SOCIETE TUNISIENNE DE REPARATIONS AERONEUTIQUES & DE CONSTRUCTION (S.T.R.A.C.)"
"HB-SVM";"JODEL U2V";"WALTER UETZ, FLUGZEUGBAU"
"HB-SVT";"JODEL U2V";"WALTER UETZ, FLUGZEUGBAU"
"HB-SVV";"JODEL D 112";"ETABLISSEMENTS JODEL"
"HB-SVX";"JODEL D 117 A";"SOCIETE WASSMER AVIATION"
"HB-SXA";"ELEKTRA TWO SOLAR";"ELEKTRA SOLAR GMBH"
"HB-TBD";"MARABU";"ERNST BÄRFUSS"
"HB-TBV";"PELIKAN U3M";"WALTER UETZ, FLUGZEUGBAU"
"HB-TBX";"PELIKAN U4M";"WALTER UETZ, FLUGZEUGBAU"
"HB-TBY";"PELIKAN U4M";"WALTER UETZ, FLUGZEUGBAU"
"HB-TBZ";"PELIKAN U4M";"WALTER UETZ, FLUGZEUGBAU"
"HB-TCC";"Z 326 MF";"MORAVAN, N.P."
"HB-TCD";"Z 143 L";"MORAVAN A.S."
"HB-TCH";"Z 143 L";"MORAVAN A.S."
"HB-TCK";"208";"CESSNA AIRCRAFT COMPANY"
"HB-TCL";"F172P";"REIMS AVIATION S.A."
"HB-TCP";"750XL";"PACIFIC AEROSPACE LTD"
"HB-TCS";"P210N";"CESSNA AIRCRAFT COMPANY"
"HB-TDA";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TDB";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TDC";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TDD";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TDM";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-TDR";"182S";"CESSNA AIRCRAFT COMPANY"
"HB-TEA";"172R";"CESSNA AIRCRAFT COMPANY"
"HB-TEB";"172R";"CESSNA AIRCRAFT COMPANY"
"HB-TEE";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TEN";"208B";"CESSNA AIRCRAFT COMPANY"
"HB-TER";"182T";"CESSNA AIRCRAFT COMPANY"
"HB-TLA";"172R";"CESSNA AIRCRAFT COMPANY"
"HB-TLF";"172R";"CESSNA AIRCRAFT COMPANY"
"HB-TLL";"182P";"CESSNA AIRCRAFT COMPANY"
"HB-TLM";"182T";"TEXTRON AVIATION INC."
"HB-TLZ";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TMT";"A185F";"CESSNA AIRCRAFT COMPANY"
"HB-TNT";"T206H";"CESSNA AIRCRAFT COMPANY"
"HB-TPD";"172S";"CESSNA AIRCRAFT COMPANY"
"HB-TRQ";"Z 526 ASM";"MORAVAN, N.P."
"HB-TRY";"STINSON L-5";"CONSOLIDATED VULTEE AIRCRAFT CORPORATION, STINSON DIVISION"
"HB-TSA";"750XL";"PACIFIC AEROSPACE LTD"
"HB-TSZ";"T182T";"CESSNA AIRCRAFT COMPANY"
"HB-TUG";"DHC-1 MK.22";"DE HAVILLAND AIRCRAFT CORP."
"HB-TUO";"Z 526";"MORAVAN, N.P."
"HB-TUS";"T206H";"TEXTRON AVIATION INC."
"HB-TUT";"DHC-1 MK.22";"DE HAVILLAND AIRCRAFT CORP."
"HB-UAF";"PRAGA E114M";"CESKOMORAVSKA-KOLBEN-DANEK"
"HB-UAL";"7GCB";"CHAMPION AIRCRAFT CORPORATION"
"HB-UAW";"7ECA";"CHAMPION AIRCRAFT CORPORATION"
"HB-UAY";"7GCBC";"AMERICAN CHAMPION AIRCRAFT CORP."
"HB-UBC";"DH 82 A";"DE HAVILLAND AIRCRAFT CORP."
"HB-UBK";"KL 35D";"HANNS KLEMM, LEICHTFLUGZEUGBAU"
"HB-UBW";"AA-5";"AMERICAN AVIATION CORPORATION"
"HB-UCD";"AA-5";"GRUMMAN AMERICAN AVIATION CORPORATION"
"HB-UCF";"AA-5B";"GRUMMAN AMERICAN AVIATION CORPORATION"
"HB-UCH";"AA-5B";"GRUMMAN AMERICAN AVIATION CORPORATION"
"HB-UCL";"AA-5B";"GULFSTREAM AMERICAN CORPORATION"
"HB-UCM";"AA-5B";"GULFSTREAM AMERICAN CORPORATION"
"HB-UCT";"SC 01";"GYROFLUG"
"HB-UCV";"SC 01B-160";"GYROFLUG"
"HB-UCY";"SC 01B-160";"GYROFLUG"
"HB-UDB";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UDC";"AG-5B";"AMERICAN GENERAL AIRCRAFT CORPORATION"
"HB-UEG";"BÖLKOW BO 209";"MESSERSCHMITT-BÖLKOW-BLOHM GMBH"
"HB-UGM";"11AC";"AERONCA AIRCRAFT CORPORATION"
"HB-UOD";"F.8-L 4";"LAVERDA S.P.A."
"HB-UOG";"F.8-L 3";"AEROMERE S.P.A."
"HB-UOH";"F.8-L";"AVIAMILANO S.P.L."
"HB-UPD";"BÖLKOW BO 208 C";"BÖLKOW-APPARATEBAU GMBH"
"HB-UPE";"DH 60 G III";"DE HAVILLAND AIRCRAFT CORP."
"HB-UPF";"BÖLKOW BO 208 C";"BÖLKOW-APPARATEBAU GMBH"
"HB-UPH";"BÖLKOW BO 208 C";"BÖLKOW-APPARATEBAU GMBH"
"HB-UPM";"DH 82 A";"DE HAVILLAND AIRCRAFT CORP."
"HB-UPP";"DH 82 A";"DE HAVILLAND (AUSTRALIA) AIRCRAFT PTY LTD (DHA)"
"HB-UPR";"STAMPE SV 4 A";"SNCAN (SOCIÉTÉ NATIONALE DE CONSTRUCTIONS AÉRONAUTIQUES DU NORD)"
"HB-UPS";"STAMPE SV 4 C";"SNCAN (SOCIÉTÉ NATIONALE DE CONSTRUCTIONS AÉRONAUTIQUES DU NORD)"
"HB-UPZ";"YMF (F5C)";"WACO CLASSIC AIRCRAFT CORPORATION"
"HB-URD";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-URF";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-USA";"BÜ-181 B-1";"HÄGGLUND & SÖNER"
"HB-USB";"BÜ 131";"DORNIER-WERKE AG"
"HB-USD";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-USM";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UTH";"BÜ 131 R150";"DORNIER-WERKE AG"
"HB-UTN";"BÜ 131";"DORNIER-WERKE AG"
"HB-UTX";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUA";"BÜ 131 APM";"BÜCKER FLUGZEUGBAU GMBH"
"HB-UUC";"BÜ 131";"BÜCKER FLUGZEUGBAU GMBH"
"HB-UUD";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUE";"BÜ 131";"DORNIER-WERKE AG"
"HB-UUF";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUH";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUI";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUL";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUM";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUN";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUO";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUP";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUR";"BÜ 131";"DORNIER-WERKE AG"
"HB-UUS";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUU";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUV";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UUW";"BÜ 131 APM";"BÜCKER FLUGZEUGBAU GMBH"
"HB-UUY";"BÜ 131 APM";"BÜCKER FLUGZEUGBAU GMBH"
"HB-UVB";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UVC";"BÜ 131";"DORNIER-WERKE AG"
"HB-UVD";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVE";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UVF";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UVG";"BÜ 131";"DORNIER-WERKE AG"
"HB-UVH";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVK";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVM";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVP";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVR";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVS";"BÜ 131 APM";"DORNIER-WERKE AG"
"HB-UVT";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVU";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVV";"1.131-E SERIE 2000";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-UVZ";"BÜ 131";"DORNIER-WERKE AG"
"HB-UXL";"BÖLKOW 207";"BÖLKOW-APPARATEBAU GMBH"
"HB-UXN";"BÖLKOW BO 208 C";"BÖLKOW-APPARATEBAU GMBH"
"HB-VDW";"45";"LEARJET INC."
"HB-VER";"525A";"CESSNA AIRCRAFT COMPANY"
"HB-VHV";"BAE.125 SERIES 800A";"BRITISH AEROSPACE LTD."
"HB-VJB";"501";"CESSNA AIRCRAFT COMPANY"
"HB-VMX";"550";"CESSNA AIRCRAFT COMPANY"
"HB-VNA";"560";"CESSNA AIRCRAFT COMPANY"
"HB-VOQ";"BAE.125 SERIES 1000A";"RAYTHEON CORPORATE JETS, INC."
"HB-VPC";"525A";"CESSNA AIRCRAFT COMPANY"
"HB-VPE";"525A";"CESSNA AIRCRAFT COMPANY"
"HB-VPF";"525";"CESSNA AIRCRAFT COMPANY"
"HB-VPG";"EMB-505";"EMBRAER S.A."
"HB-VPH";"525";"CESSNA AIRCRAFT COMPANY"
"HB-VPO";"EMB-505";"EMBRAER S.A."
"HB-VPR";"EMB-505";"EMBRAER S.A."
"HB-VRV";"EMB-500";"EMBRAER S.A."
"HB-VRW";"EMB-505";"EMBRAER S.A."
"HB-VSA";"PC-24";"PILATUS AIRCRAFT LTD."
"HB-VSB";"PC-24";"PILATUS AIRCRAFT LTD."
"HB-VTC";"525";"TEXTRON AVIATION INC."
"HB-VTS";"390";"HAWKER BEECHCRAFT CORPORATION"
"HB-VWA";"525A";"CESSNA AIRCRAFT COMPANY"
"HB-VWM";"525";"CESSNA AIRCRAFT COMPANY"
"HB-VWO";"525";"CESSNA AIRCRAFT COMPANY"
"HB-VWZ";"510";"CESSNA AIRCRAFT COMPANY"
"HB-VXA";"PC-24";"PILATUS AIRCRAFT LTD."
"HB-VXB";"PC-24";"PILATUS AIRCRAFT LTD."
"HB-VYM";"EMB-505";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-VYS";"EMB-505";"EMBRAER S.A."
"HB-WAA";"C 42 B";"COMCO IKARUS GMBH"
"HB-WAB";"C 42 B";"COMCO IKARUS GMBH"
"HB-WAC";"EUROSTAR EV 97 MODELL 2000 VERSION R";"EVEKTOR - AEROTECHNIK A.S."
"HB-WAK";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WAP";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WAR";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WAT";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WAU";"C 42 B";"COMCO IKARUS GMBH"
"HB-WAW";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WAZ";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WBA";"MCR-ULC";"DYN'AERO TECNOLOGIA AEROSPACIAL IBÉRICA S.A."
"HB-WEA";"LIGHTWING AC4";"LIGHT WING AG"
"HB-WEB";"LIGHTWING AC4";"LIGHT WING AG"
"HB-WGA";"M16";"MAGNI GYRO SRL"
"HB-WGB";"J-RO";"DTA SAS"
"HB-WGC";"M16";"MAGNI GYRO SRL"
"HB-WGD";"ELA 10-ECLIPSE R115";"ELA AVIACIÓN, S.L."
"HB-WGE";"ELA 10-ECLIPSE R115";"ELA AVIACIÓN, S.L."
"HB-WGF";"M24";"MAGNI GYRO SRL"
"HB-WGG";"ELA 10-ECLIPSE R115";"ELA AVIACIÓN, S.L."
"HB-WGZ";"J-RO";"DTA SAS"
